shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
喵速达电器官方旗舰店,3299.0,【享12期免息 自营】Redmi K70 Pro新品上市红米<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span>官方旗舰店红米k70pro<span class=H>小米</span>k70prok60,750813436573,6,浙江 杭州,1,1,0,0,0,骁龙8 Gen 3,5000+1200+5000,120,,3,5000
喵速达电器官方旗舰店,1999.0,Redmi Note 13 Pro+ Note 13 Pro+<span class=H>手机</span>红米note<span class=H>手机</span><span class=H>小米</span>官方旗舰店note13pro+,760772397252,100,浙江 杭州,1,1,0,0,0,7200 Ultra,20000+800+200,120,,3,20000
苏宁易购官方旗舰店,3249.0,Xiaomi/<span class=H>小米</span>13 新品5G<span class=H>手机</span>官方旗舰店徕卡影像骁龙8 Gen2窄边高刷屏官网<span class=H>小米</span>13【2004】,697782149957,18,北京,1,0,1,0,0,骁龙8 Gen2,5000+1200+1000,67,,3,5000
元宇宙电讯,2875.0,MIUI/<span class=H>小米</span> Redmi K70 Pro旗舰拍照影像游戏全网通<span class=H>手机</span>红米K70pro,750426220029,24,浙江 杭州,1,0,1,0,1,骁龙8 Gen 3,5000+1200+5000,120,,3,5000
热图数码专营店,1999.0,赠碎屏宝|顺丰发】Redmi K60红米<span class=H>手机</span><span class=H>小米</span>k60官方旗舰店官网正品智能新款红米k60pro学生<span class=H>小米</span><span class=H>手机</span>,696056971376,6,广东 深圳,1,1,0,0,0,骁龙8+,6400+800+200,67,,3,6400
热图数码专营店,2999.0,【现货速发24期免息】Xiaomi Civi 4 Pro新品<span class=H>手机</span>上市<span class=H>小米</span>Civi4pro官方旗舰店官网正品<span class=H>小米</span>Civi4pro系列徕卡,775294036547,1,广东 深圳,1,1,1,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
帝国数码城,2119.0,现货红米MIUI/<span class=H>小米</span> Redmi K60 至尊版<span class=H>手机</span>5G官网正品旗舰原封,734075607786,4,四川 成都,1,0,1,0,0,天玑9200+,5000,120,,1,5000
小米直营官方店,1299.0,【官方直营】MIUI/<span class=H>小米</span> Redmi Note 12T Pro红米<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span>正品,728601458923,2,北京,0,1,1,0,0,天玑8200-Ultra,6400+800+200,67,,3,6400
万物互联通讯店,2937.0,【现货速发】MIUI/<span class=H>小米</span> Xiaomi 13第二代骁龙8全新 <span class=H>小米</span>13<span class=H>手机</span>,694502629842,7,湖北 襄阳,1,0,1,0,1,骁龙8 Gen2,5000+1200+1000,67,,3,5000
三际数码官方旗舰店,2299.0,送碎屏宝]<span class=H>小米</span> Xiaomi Civi 3 <span class=H>手机</span>新品<span class=H>小米</span>Civi3官方旗舰店官网正品新款拍照智能<span class=H>小米</span>Civi系列,719479163081,8,山东 济南,1,1,1,0,0,天玑 8200-Ultra,5000+800+200,67,,3,5000
兴隆数码店,1849.0,新品上市MIUI/<span class=H>小米</span> Redmi K70E<span class=H>手机</span>红米K70e<span class=H>手机</span><span class=H>小米</span>k70官网,750766689272,29,广东 深圳,1,1,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
同迅数码专营店,849.0,新品【现货速发】Redmi Note 10 5G<span class=H>手机</span>红米note10大电量智能学生<span class=H>小米</span>官方旗舰店官网同款正品xiaomi分期9pro,645944114857,3,辽宁 大连,1,1,1,0,0,天玑700,4800,18,,1,4800
能良数码官方旗舰店,1149.0,【顺丰现货速发】Redmi红米Note12Pro新品旗舰影像游戏5G红米<span class=H>手机</span>note12pro+<span class=H>小米</span>官方旗舰店性能,688609702605,7,浙江 金华,1,1,1,0,0,天玑1080,5000+800+200,67,,3,5000
bihee旗舰店,1299.0,赠碎屏宝+选送好礼】<span class=H>小米</span>Redmi Note 13 Pro<span class=H>手机</span>红米note13pro<span class=H>小米</span><span class=H>手机</span><span class=H>小米</span>官方旗舰店官网新品正品Pro+,738793320212,46,上海,0,1,1,0,0,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
